ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source,Last_Education_Qualification,Last_Education_Subject,Last_Education_Division,Last_Designation,Last_Level,Last_Office,Last_Organisation,Last_Field_of_Experience,Last_Category_of_Experience,Last_Start_Date,Last_End_Date
UT000400,Shri R M Agrawal,Indian Administrative Services,A G M U T,1954,1930-2-7,1954-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Superannuated,Supremo,P.G.,Economics,Second,Deputy Secretary,Under Secretary,N.A.,Cadre (AIS),Finance,Finance,1958-1-5,1959-1-9
BH009000,Shri U Vaidyanathan,Indian Administrative Services,Bihar,1954,1930-18-2,1954-07-01,Direct Recruitment,Male,Bihar,Tamil,English Hindi,True,Superannuated,Supremo,P.G.,Political Sc.,First,Assistant Collector & A D M,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-4,1957-1-6
BH008900,Shri Ishwari Prasad,Indian Administrative Services,Bihar,1954,1930-28-2,1954-07-01,Direct Recruitment,Male,Bihar,Hindi,English,True,Superannuated,Supremo,P.G.,Economics,Second,Under Secy,Junior Scale,N.A.,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,1957-1-7,1958-1-11
KL002600,Shri V Ramachandran,Indian Administrative Services,Kerala,1954,1931-21-3,1954-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam Sanskrit,True,Superannuated,Supremo,P.G.,Petrology,Ordinary,Under Secy,Junior Scale,N.A.,Cadre (AIS),Administrative Reforms,Personnel and General Administration,1957-1-10,1958-1-6
HY002600,Shri Lc Gupta,Indian Administrative Services,Haryana,1954,1930-20-9,1954-07-01,Direct Recruitment,Male,Haryana,Hindi,English Punjabi Urdu,True,Superannuated,Supremo,P.G.,English,Third,Under Secy,Junior Scale,N.A.,Cadre (AIS),Personnel and General Administration,Personnel and General Administration,1957-1-11,1958-1-5
BH008800,Shri K Ramanujam,Indian Administrative Services,Bihar,1954,1930-15-9,1954-07-01,Direct Recruitment,Male,Maharashtra,Tamil,English Hindi,True,Superannuated,Supremo,P.G.,Commerce,Second,Assistant Collector & A D M,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-4,1957-1-6
BH009100,Shri S S Dhanoa,Indian Administrative Services,Bihar,1954,1930-12-8,1954-07-01,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,True,Superannuated,Supremo,P.G.,Political Sc.,Second,N.A.,Junior Scale,N.A.,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,1957-1-12,1958-1-11
WB006800,Ms. Roma Mazumdar,Indian Administrative Service,West Bengal,1954,1932-4-9,1954-01-07,Direct Recruitment,Female,Delhi,Hindi,Bengali English German Spanish,True,Retired after Extension/Re-Employment,Supremo,Graduate,English,Second,N.A.,Secretary Equivalent,Centre - Foreign Assignment,N.A.,Political Affairs,Home,1989-8-1,1990-4-1
AP005900,Shri Gr Nair,Indian Administrative Services,Andhra Pradesh,1954,1932-14-5,1954-07-01,Direct Recruitment,Male,Kerala,Telugu,English Hindi Malayalam,True,Superannuated,Supremo,Graduate,History,Second,Settlement Officer,Under Secretary,N.A.,Cadre (AIS),Settlement,Land Revenue Mgmt & District Admn,1958-1-7,1959-1-7
AP006000,Shri B K Rao,Indian Administrative Services,Andhra Pradesh,1954,1931-1-7,1954-07-01,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi Sanskrit,True,Superannuated,Supremo,P.G.,Petrology,Ordinary,Under Secy,Junior Scale,N.A.,Cadre (AIS),General Administration,Personnel and General Administration,1957-1-8,1958-1-5
AP006100,Shri Mg Krishnan,Indian Administrative Services,Andhra Pradesh,1954,1932-11-3,1954-07-01,Direct Recruitment,Male,Andhra Pradesh,Tamil,English Hindi Telugu,True,Superannuated,Supremo,P.G.,Economics,First,Under Secy,Junior Scale,N.A.,Cadre (AIS),General Administration,Personnel and General Administration,1957-1-10,1958-1-3
AP006500,Shri Ka Ansari,Indian Administrative Services,Andhra Pradesh,1954,1930-27-7,1954-07-01,Direct Recruitment,Male,Uttar Pradesh,Arabic,German Hindi Telugu,True,Superannuated,Supremo,P.G.,Philosophy,Ordinary,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1955-1-4,1959-1-12
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,1954,1932-01-28,1954-01-07,Direct Recruitment,Male,Kerala,Malayalam,English Hindi,True,Expired,Supremo,P.G.,Physics,First,N.A.,Secretary,N.A.,N.A.,Heavy Industries,Industries,1988-2-1,1989-4-1
UP015300,Shri Prem Kumar,Indian Administrative Service,Uttar Pradesh,1954,1931-10-14,1954-01-07,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,True,Superannuated,Supremo,P.G.,Mathematics,First,N.A.,Secretary,President's Sectt,N.A.,Cabinet Affairs,Personnel and General Administration,1989-3-1,1989-10-1
WB007000,Shri Ss Varma,Indian Administrative Service,West Bengal,1954,1931-12-30,1954-01-07,Direct Recruitment,Male,Uttar Pradesh,-,English,True,Superannuated,Supremo,Graduate,Physics,Second,Secretary,Secretary,M/o Welfare,N.A.,Welfare,Social Justice & Empowerment,1985-12-1,1989-12-1
UP015400,Shri Svs Juneja,Indian Administrative Service,Uttar Pradesh,1954,1931-05-13,1954-01-07,Direct Recruitment,Male,Uttar Pradesh,Punjabi,English German Hindi Sanskrit,True,Superannuated,Supremo,P.G.,Economics,Ordinary,N.A.,Additional Secretary Equivalent,Centre - Foreign Assignment,N.A.,Development Admn,Land Revenue Mgmt & District Admn,1984-5-1,1989-5-1
UP015600,Shri Anand Sarup,Indian Administrative Service,Uttar Pradesh,1954,1930-1-1,1954-01-07,Direct Recruitment,Male,Punjab,Hindi,English Punjabi Urdu,True,Superannuated,Supremo,P.G.,English Lit,Ordinary,Chairman,Secretary Equivalent,M/o Human Resources Dev,N.A.,Elementry Education,Human Resource Dev,1987-3-1,1987-12-1
MP008000,Dr. Kcs Acharya,Indian Administrative Services,Madhya Pradesh,1954,1930-4-7,1954-07-01,Direct Recruitment,Male,Madhya Pradesh,Hindi,Hindi,True,Superannuated,Supremo,Ph. D.,Economics,Ordinary,Assistant Collector,Junior Scale,Raigarh,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-8,1959-1-5
KN004900,Shri S Varadan,Indian Administrative Services,Karnataka,1954,1930-29-10,1954-07-01,Direct Recruitment,Male,Karnataka,Tamil,Hindi Kannada Sanskrit Telugu,True,Superannuated,Supremo,Graduate,Mathematics,First,N.A.,Under Secretary Equivalent,M/o Finance & Company Affairs,Centre,Finance,Finance,1958-1-6,1960-1-3
OR005500,Shri Js Baijal,Indian Administrative Services,Odisha,1954,1931-6-6,1954-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Oriya,True,Retired after Extension/Re-Employment,Supremo,P.G.,Economics,Ordinary,N.A.,Under Secretary,M/o Steel,Centre (Foreign Training),Heavy Industries,Industries,1958-1-6,1962-1-7
MH008100,Shri A D Samant,Indian Administrative Services,Maharashtra,1954,1931-16-6,1954-07-01,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi Sanskrit,True,Retired voluntarily,Supremo,P.G.,Economics,First,Under Secy,Under Secretary,M/o Home Affairs/D/o Home,Centre,Home,Home,1958-1-10,1962-1-3
MH008300,Shri S Ramakrishna,Indian Administrative Services,Maharashtra,1954,1931-27-6,1954-07-01,Direct Recruitment,Male,Maharashtra,Tamil,Hindi Kannada Malayalam Marathi,True,Superannuated,Supremo,P.G.,Economics,First,Collector,Under Secretary,Ratnagiri,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,1961-1-2,1963-1-1
MH008400,Shri K K Uppal,Indian Administrative Services,Maharashtra,1954,1931-1-10,1954-07-01,Direct Recruitment,Male,Delhi,Punjabi,Hindi Marathi Sanskrit Urdu,True,Retired after Extension/Re-Employment,Supremo,P.G.,English Lit,Second,Under Secy,Junior Scale,N.A.,Cadre (AIS),Finance,Finance,1958-1-2,1959-1-4
MP007800,Shri B Swarup,Indian Administrative Services,Madhya Pradesh,1954,1930-21-2,1954-07-01,Direct Recruitment,Male,Delhi,Hindi,English Urdu,True,Superannuated,Supremo,P.G.,Economics,Second,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-8,1959-1-1
MP007900,Shri Rn Chopra,Indian Administrative Services,Madhya Pradesh,1954,1931-4-9,1954-07-01,Direct Recruitment,Male,Delhi,Punjabi,English Hindi,True,Superannuated,Supremo,P.G.,Geology,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-8,1958-1-1
OR005400,Shri Nk Panda,Indian Administrative Services,Odisha,1954,1931-13-5,1954-07-01,Direct Recruitment,Male,Odisha,Oriya,English Hindi,True,Superannuated,Supremo,P.G.,Economics,Second,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-9,1957-1-9
MP008100,Shri Ms Singh Deo,Indian Administrative Services,Madhya Pradesh,1954,1930-2-6,1954-07-01,Direct Recruitment,Male,Madhya Pradesh,Hindi,English Hindi,True,Superannuated,Supremo,P.G.,History,Second,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-8,1959-1-4
PB002600,Shri P K Kathpalia,Indian Administrative Services,Punjab,1954,1930-8-12,1954-07-01,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,True,Retired voluntarily,Supremo,P.G.,English,Second,Assistant Commissioner,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-7,1957-1-11
OR005600,Shri P S H Mohamed,Indian Administrative Services,Odisha,1954,1930-16-11,1954-07-01,Direct Recruitment,Male,Kerala,Malayalam,English French Oriya Tamil,True,Retired after Extension/Re-Employment,Supremo,Graduate,English Lit,First,Deputy Secretary,Under Secretary,N.A.,Cadre (AIS),General Administration,Personnel and General Administration,1958-1-6,1959-1-8
RJ005900,Shri Mohan Lal Anand,Indian Administrative Services,Rajasthan,1954,1931-24-2,1954-07-01,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,True,Superannuated,Supremo,P.G.,Physics,First,Assistant Collector,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1956-1-7,1958-1-9
OR005300,Shri C Venkataramani,Indian Administrative Services,Odisha,1954,1930-15-12,1954-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,Hindi Oriya,True,Superannuated,Supremo,P.G.,Chemistry,First,Deputy Secretary,Under Secretary,N.A.,Cadre (AIS),Rural Development,Rural Dev,1959-1-3,1959-1-9
WB007800,Shri Rn Sen Gupta,Indian Administrative Service,West Bengal,1955,1931-1-1,1955-01-07,Direct Recruitment,Male,West Bengal,Bengali,English,True,Superannuated,Supremo,P.G.,History,Second,Chief Secy,Secretary,N.A.,N.A.,General Administration,Personnel and General Administration,1986-10-1,1988-12-1
AP007000,Shri Spb Subramanian,Indian Administrative Services,Andhra Pradesh,1955,1931-8-8,1955-07-01,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Telugu,True,Superannuated,Supremo,P.G.,Chemistry,First,Under Secy,Under Secretary,M/o Home Affairs/D/o Home,Centre,Home,Home,1959-1-4,1962-1-10
AP006900,Shri V P Ramarao,Indian Administrative Services,Andhra Pradesh,1955,1933-27-4,1955-07-01,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,True,Superannuated,Supremo,Graduate,Law,Second,Admn Officer,Junior Scale,N.A.,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,1958-1-10,1959-1-3
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,1955,1929-10-1,1955-01-07,Direct Recruitment,Male,West Bengal,Bengali,English,True,Superannuated,Supremo,P.G.,Political Sc.,Second,Secretary,Additional Secretary,N.A.,N.A.,Planning,Planning & Prog Implementation,1984-7-1,1987-10-1
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,1955,1932-11-24,1955-01-07,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,True,Superannuated,Supremo,P.G.,History,First,N.A.,Secretary Equivalent,Centre - Foreign Assignment,N.A.,Liaison,Protocol,1990-11-1,1990-11-30
WB007500,Shri D Bandhopadhyay,Indian Administrative Service,West Bengal,1955,1931-10-1,1955-01-07,Direct Recruitment,Male,West Bengal,Bengali,English,True,Superannuated,Supremo,P.G.,Economics,First,N.A.,Secretary,Centre - Foreign Assignment,N.A.,Economic Affairs,Finance,1988-9-1,1989-9-1
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,1955,1931-4-10,1955-01-07,Direct Recruitment,Male,Haryana,Hindi,English Urdu,True,Superannuated,Supremo,P.G.,Economics,Second,Secretary,Secretary,D/o Defence Production & Supply,N.A.,Defence Production & Supplies,Defence,1985-5-1,1989-4-1
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,1955,1932-04-26,1955-01-07,Direct Recruitment,Male,Tamil Nadu,Tamil,English German Hindi Sanskrit,True,Retired voluntarily,Supremo,P.G.,Physical Chem,Second,Member,Secretary Equivalent,D/o Personnel & Trg,N.A.,Recruitment Bd,Service Commn,1989-12-1,1990-03-31
TN005800,Shri As Ahluwalia,Indian Administrative Service,Tamil Nadu,1955,1930-10-9,1955-01-07,Direct Recruitment,Male,Delhi,Punjabi,English Tamil Urdu,True,Expired,Supremo,P.G.,Economics,Second,N.A.,Secretary,N.A.,N.A.,Urban Develoment,Urban Development,1985-12-1,1988-6-1
TN005700,Shri Pn Vedanaraynan,Indian Administrative Service,Tamil Nadu,1955,1933-6-4,1955-01-07,Direct Recruitment,Male,Tamil Nadu,Tamil,English,True,Superannuated,Supremo,P.G.,Political Sc.,Second,N.A.,Secretary,N.A.,N.A.,Personnel and General Administration,Personnel and General Administration,1990-2-1,1991-6-1
TN005600,Shri Tn Seshan,Indian Administrative Service,Tamil Nadu,1955,1932-12-15,1955-01-07,Direct Recruitment,Male,Kerala,Tamil,English Hindi Malayalam Sanskrit,True,Retired voluntarily,Supremo,P.G.,Public Admn,First,Member,Secretary Equivalent,Planning Commission,N.A.,Programme Implementation,Planning & Prog Implementation,1989-12-1,1990-12-1
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,1955,1932-08-20,1955-01-07,Direct Recruitment,Male,Maharashtra,Marathi,Bengali English Hindi Urdu,True,Superannuated,Supremo,P.G.,Economics,Ordinary,N.A.,Secretary Equivalent,M/o Home Affairs,N.A.,Development Admn,Land Revenue Mgmt & District Admn,1990-1-1,1990-8-1
