Subject,Experience,Count
"Engineering, Technology and Mathematics",Personnel and General Administration,478
Social Science and Liberal Arts,Water Resources,434
Social Science and Liberal Arts,Commerce,428
Social Science and Liberal Arts,Environment & Forests,427
"Governance, Law and Management",Transport,427
"Engineering, Technology and Mathematics",Industries,423
"Governance, Law and Management",Planning & Prog Implementation,422
"Governance, Law and Management",Rural Dev,418
Natural Sciences,"Consumer Affairs, Food & PD",417
"Governance, Law and Management",Health & Family Welfare,405
Languages and Fine Arts,Planning & Prog Implementation,404
Languages and Fine Arts,Health & Family Welfare,400
Natural Sciences,Human Resource Dev,399
"Engineering, Technology and Mathematics",Agriculture & Cooperation,392
Natural Sciences,Social Justice & Empowerment,376
Languages and Fine Arts,Transport,368
Natural Sciences,Rural Dev,356
Natural Sciences,Planning & Prog Implementation,352
Social Science and Liberal Arts,Tourism,348
Social Science and Liberal Arts,Law and Justice,345
Languages and Fine Arts,Rural Dev,345
"Engineering, Technology and Mathematics",N.Applicable,343
Natural Sciences,Transport,330
"Governance, Law and Management",Labour & Employment,324
"Engineering, Technology and Mathematics",Urban Development,321
Social Science and Liberal Arts,Information & Broadcasting,320
Social Science and Liberal Arts,Protocol,318
"Governance, Law and Management",Energy,315
Social Science and Liberal Arts,Corporate Management (New),312
Natural Sciences,Health & Family Welfare,304
Social Science and Liberal Arts,Textiles,303
Languages and Fine Arts,Labour & Employment,295
Social Science and Liberal Arts,Local Self Govt,291
Natural Sciences,Energy,286
Finance,Land Revenue Mgmt & District Admn,286
"Engineering, Technology and Mathematics",Home,283
Social Science and Liberal Arts,Public Works,279
Social Science and Liberal Arts,Mines & Minerals,270
"Engineering, Technology and Mathematics",Human Resource Dev,258
"Governance, Law and Management",Water Resources,251
"Governance, Law and Management",Environment & Forests,251
"Engineering, Technology and Mathematics","Consumer Affairs, Food & PD",250
Languages and Fine Arts,Environment & Forests,247
Natural Sciences,Labour & Employment,246
"Governance, Law and Management",Law and Justice,236
"Governance, Law and Management",Commerce,236
"Engineering, Technology and Mathematics",Planning & Prog Implementation,231
Languages and Fine Arts,Water Resources,227
Natural Sciences,Water Resources,224
"Engineering, Technology and Mathematics",Transport,221
"Engineering, Technology and Mathematics",Social Justice & Empowerment,220
Natural Sciences,Environment & Forests,217
Natural Sciences,Commerce,209
Languages and Fine Arts,Energy,209
Finance,Finance,208
Languages and Fine Arts,Commerce,207
"Governance, Law and Management",Information & Broadcasting,206
Languages and Fine Arts,Law and Justice,204
"Engineering, Technology and Mathematics",Health & Family Welfare,202
Social Science and Liberal Arts,Youth Affairs & Sports,202
Social Science and Liberal Arts,Culture,200
"Governance, Law and Management",Local Self Govt,198
"Engineering, Technology and Mathematics",Rural Dev,198
Social Science and Liberal Arts,Defence,191
"Governance, Law and Management",Tourism,191
"Engineering, Technology and Mathematics",Energy,190
"Governance, Law and Management",Textiles,185
"Governance, Law and Management",Protocol,183
Languages and Fine Arts,Local Self Govt,181
Languages and Fine Arts,Tourism,180
Natural Sciences,Law and Justice,179
"Governance, Law and Management",Corporate Management (New),177
"Governance, Law and Management",Public Works,176
Finance,Personnel and General Administration,174
Languages and Fine Arts,Information & Broadcasting,171
Finance,Agriculture & Cooperation,170
Social Science and Liberal Arts,Science & Technology,170
Social Science and Liberal Arts,Women & Child Dev,167
Social Science and Liberal Arts,ST Welfare,163
Languages and Fine Arts,Protocol,162
Languages and Fine Arts,Public Works,161
"Engineering, Technology and Mathematics",Labour & Employment,153
Languages and Fine Arts,Textiles,152
"Engineering, Technology and Mathematics",Water Resources,148
Natural Sciences,Textiles,148
"Governance, Law and Management",Mines & Minerals,144
Finance,Industries,144
Languages and Fine Arts,Corporate Management (New),140
Natural Sciences,Corporate Management (New),139
Natural Sciences,Information & Broadcasting,139
Finance,Urban Development,137
Natural Sciences,Local Self Govt,136
Social Science and Liberal Arts,Service Commn,135
Natural Sciences,Protocol,135
"Engineering, Technology and Mathematics",Commerce,133
Social Science and Liberal Arts,Communications & Information Technology,132
Languages and Fine Arts,Mines & Minerals,130
Social Science and Liberal Arts,Staff Officers,129
Languages and Fine Arts,Culture,128
"Engineering, Technology and Mathematics",Environment & Forests,127
Natural Sciences,Public Works,127
Natural Sciences,Mines & Minerals,127
Natural Sciences,Tourism,126
"Governance, Law and Management",Science & Technology,120
Natural Sciences,Science & Technology,120
Natural Sciences,Defence,119
Others,Land Revenue Mgmt & District Admn,118
"Governance, Law and Management",Youth Affairs & Sports,118
"Governance, Law and Management",Culture,116
"Governance, Law and Management",Defence,110
Languages and Fine Arts,Women & Child Dev,110
"Governance, Law and Management",Staff Officers,103
"Engineering, Technology and Mathematics",Law and Justice,102
Languages and Fine Arts,Defence,101
Finance,"Consumer Affairs, Food & PD",101
"Engineering, Technology and Mathematics",Corporate Management (New),100
Finance,Social Justice & Empowerment,100
Finance,Human Resource Dev,99
Finance,Home,98
"Engineering, Technology and Mathematics",Science & Technology,95
Languages and Fine Arts,Science & Technology,95
"Engineering, Technology and Mathematics",Information & Broadcasting,94
"Engineering, Technology and Mathematics",Local Self Govt,94
"Governance, Law and Management",ST Welfare,94
"Engineering, Technology and Mathematics",Public Works,92
Finance,N.Applicable,92
Finance,Rural Dev,91
Others,Agriculture & Cooperation,91
Languages and Fine Arts,ST Welfare,90
Natural Sciences,Communications & Information Technology,90
Languages and Fine Arts,Youth Affairs & Sports,89
"Engineering, Technology and Mathematics",Textiles,88
Others,Personnel and General Administration,86
Natural Sciences,Youth Affairs & Sports,85
"Engineering, Technology and Mathematics",Mines & Minerals,84
"Engineering, Technology and Mathematics",Tourism,84
Natural Sciences,Staff Officers,83
"Governance, Law and Management",Women & Child Dev,82
"Engineering, Technology and Mathematics",Protocol,82
Languages and Fine Arts,Service Commn,81
"Governance, Law and Management",Service Commn,80
Natural Sciences,Culture,80
Others,Finance,79
Natural Sciences,Women & Child Dev,77
Finance,Transport,76
Natural Sciences,ST Welfare,75
"Governance, Law and Management",Communications & Information Technology,75
Finance,Planning & Prog Implementation,74
Others,N.Applicable,71
Others,Industries,69
Social Science and Liberal Arts,Petroleum & Natural Gas,68
Finance,Energy,65
Languages and Fine Arts,Communications & Information Technology,63
Finance,Health & Family Welfare,61
"Engineering, Technology and Mathematics",Staff Officers,57
Natural Sciences,Service Commn,57
"Engineering, Technology and Mathematics",Communications & Information Technology,56
Others,Human Resource Dev,56
"Engineering, Technology and Mathematics",Defence,56
Finance,Labour & Employment,55
Finance,Water Resources,54
Social Science and Liberal Arts,Parliamentary Affairs,53
"Engineering, Technology and Mathematics",Youth Affairs & Sports,53
Natural Sciences,Petroleum & Natural Gas,53
Others,Social Justice & Empowerment,52
Finance,Law and Justice,51
Languages and Fine Arts,Staff Officers,50
Finance,Commerce,49
Others,Urban Development,46
Others,Planning & Prog Implementation,43
Finance,Corporate Management (New),43
Languages and Fine Arts,Parliamentary Affairs,42
Others,"Consumer Affairs, Food & PD",42
"Engineering, Technology and Mathematics",ST Welfare,42
"Engineering, Technology and Mathematics",Culture,42
Others,Home,40
"Governance, Law and Management",Petroleum & Natural Gas,39
Others,Rural Dev,39
Others,Health & Family Welfare,39
Finance,Environment & Forests,38
Others,Transport,37
"Engineering, Technology and Mathematics",Women & Child Dev,36
Finance,Local Self Govt,35
Social Science and Liberal Arts,Chemicals & Fertilizers,35
"Governance, Law and Management",Parliamentary Affairs,35
Finance,Information & Broadcasting,32
Others,Labour & Employment,32
Finance,Textiles,32
Natural Sciences,Parliamentary Affairs,30
Finance,Mines & Minerals,30
"Engineering, Technology and Mathematics",Petroleum & Natural Gas,29
Finance,Protocol,29
Others,Environment & Forests,29
"Governance, Law and Management",Chemicals & Fertilizers,27
Finance,Public Works,26
"Engineering, Technology and Mathematics",Service Commn,26
Natural Sciences,Chemicals & Fertilizers,25
Finance,Science & Technology,25
Finance,Tourism,23
Finance,ST Welfare,23
Finance,Staff Officers,22
Medical,Land Revenue Mgmt & District Admn,22
Others,Water Resources,22
Others,Local Self Govt,21
Others,Energy,21
Finance,Defence,21
Others,Tourism,21
Others,Commerce,20
Others,Law and Justice,19
Finance,Youth Affairs & Sports,19
Others,Information & Broadcasting,18
Languages and Fine Arts,Petroleum & Natural Gas,18
"Engineering, Technology and Mathematics",Parliamentary Affairs,18
Finance,Culture,17
Social Science and Liberal Arts,External Affairs,16
Medical,Industries,16
Medical,Personnel and General Administration,16
Medical,Finance,16
Others,Women & Child Dev,15
Others,Culture,15
Others,Protocol,15
"Engineering, Technology and Mathematics",Chemicals & Fertilizers,15
Medical,N.Applicable,15
Finance,Women & Child Dev,15
"Governance, Law and Management",External Affairs,15
Medical,Agriculture & Cooperation,14
Others,Science & Technology,14
Others,Textiles,14
Others,Youth Affairs & Sports,13
Finance,Service Commn,13
Others,Public Works,13
Medical,Health & Family Welfare,12
Medical,Urban Development,11
Social Science and Liberal Arts,Mail Management,11
Others,Corporate Management (New),11
Others,ST Welfare,10
Languages and Fine Arts,Chemicals & Fertilizers,10
Natural Sciences,Public Administration,10
Others,Service Commn,9
Medical,Rural Dev,9
"Engineering, Technology and Mathematics",External Affairs,8
Medical,Human Resource Dev,8
"Governance, Law and Management",Development of NER,8
Others,Mines & Minerals,8
Medical,Social Justice & Empowerment,8
Medical,"Consumer Affairs, Food & PD",7
Medical,Home,7
Others,Staff Officers,7
Others,Defence,7
Finance,Parliamentary Affairs,7
Medical,Transport,7
Languages and Fine Arts,External Affairs,7
Medical,Planning & Prog Implementation,6
Social Science and Liberal Arts,Development of NER,6
"Governance, Law and Management",Public Administration,6
Medical,Energy,6
Social Science and Liberal Arts,Public Administration,6
Languages and Fine Arts,Mail Management,6
Natural Sciences,External Affairs,6
Finance,Communications & Information Technology,6
Medical,Labour & Employment,4
Languages and Fine Arts,Development of NER,4
Medical,Water Resources,4
Finance,Chemicals & Fertilizers,4
"Governance, Law and Management",Mail Management,4
"Engineering, Technology and Mathematics",Public Administration,4
Social Science and Liberal Arts,N.Available,4
Medical,Public Works,3
Finance,Petroleum & Natural Gas,3
Others,Parliamentary Affairs,3
Medical,Science & Technology,3
"Engineering, Technology and Mathematics",Development of NER,3
Languages and Fine Arts,N.Available,3
"Governance, Law and Management",N.Available,3
Medical,ST Welfare,3
Medical,Protocol,3
Medical,Environment & Forests,3
Medical,Information & Broadcasting,3
Medical,Commerce,3
Medical,Local Self Govt,3
Medical,Law and Justice,2
"Engineering, Technology and Mathematics",N.Available,2
Medical,Culture,2
Medical,Staff Officers,2
Medical,Women & Child Dev,2
Finance,Public Administration,2
Others,Communications & Information Technology,2
Languages and Fine Arts,Public Administration,2
Finance,External Affairs,2
Others,Petroleum & Natural Gas,2
Natural Sciences,Mail Management,2
Social Science and Liberal Arts,Public Policy,2
Natural Sciences,N.Available,1
Medical,Parliamentary Affairs,1
"Governance, Law and Management",Training,1
"Engineering, Technology and Mathematics",Training,1
Medical,Petroleum & Natural Gas,1
Medical,Mines & Minerals,1
Others,Mail Management,1
Medical,Textiles,1
"Engineering, Technology and Mathematics",Mail Management,1
Social Science and Liberal Arts,Industrial production,1
Others,Public Administration,1
Others,Chemicals & Fertilizers,1
Medical,Defence,1
Natural Sciences,Industrial production,1
Natural Sciences,Public Policy,1
Natural Sciences,Development of NER,1
Finance,Development of NER,1
Medical,Youth Affairs & Sports,1
